time;V(/derivated);V(/derivated_pre);V(/derivated_twice);V(/integrated);V(/integrated_pre);V(/rectified);V(/rectified_pre);V(/vi);V(/vi_buffered);V(/vi_offseted);
0,00916481;2,84595;-2,90342;-0,00476136;4,1517;-3,24271;0,00100258;0,000291666;0;1,08166e-05;-0,991699;
0,00916486;2,84423;-2,89883;-0,00625878;4,14894;-3,24205;0,000654117;-7,20128e-05;0;9,73392e-06;-0,991696;
0,00916492;2,84213;-2,8935;-0,00842884;4,14621;-3,24138;0,000150044;-0,000493989;0;1,05717e-05;-0,991695;
0,00916497;2,83946;-2,88696;-0,0114906;4,1433;-3,24067;-0,000519733;-0,000983702;0;1,11104e-05;-0,991695;
0,00916502;2,83638;-2,8796;-0,0152807;4,14041;-3,23995;-0,0012728;-0,00148846;0;1,1086e-05;-0,991694;
0,0091651;2,83169;-2,86863;-0,0213719;4,1366;-3,239;-0,00232569;-0,00215467;0;1,09525e-05;-0,991694;
0,00916519;2,82469;-2,85261;-0,030852;4,13173;-3,23777;-0,00367717;-0,00297685;0;1,09536e-05;-0,991694;
0,00916532;2,81273;-2,82575;-0,047615;4,12473;-3,23599;-0,00551381;-0,00406367;0;1,09836e-05;-0,991694;
0,00916552;2,79187;-2,77987;-0,0774558;4,11465;-3,23343;-0,00775382;-0,0053355;0;1,09635e-05;-0,991694;
0,0091657;2,76879;-2,72982;-0,110733;4,10522;-3,23102;-0,00921713;-0,00605408;0;1,09731e-05;-0,991694;
0,00916586;2,74696;-2,68292;-0,142116;4,0973;-3,22899;-0,00969128;-0,00606726;0;1,09712e-05;-0,991694;
0,00916599;2,72603;-2,63821;-0,172018;4,09032;-3,2272;-0,00916388;-0,00532371;0;1,09694e-05;-0,991694;
0,00916613;2,70423;-2,59188;-0,202879;4,08353;-3,22547;-0,00724612;-0,00346027;0;1,09715e-05;-0,991694;
0,00916623;2,68659;-2,5545;-0,227638;4,07831;-3,22413;-0,0043447;-0,000880418;0;1,09705e-05;-0,991694;
0,00916632;2,66915;-2,51764;-0,251902;4,07335;-3,22286;5,08428e-05;0,0028065;0;1,09705e-05;-0,991694;
0,00916642;2,65188;-2,48122;-0,275725;4,0686;-3,22164;0,00609265;0,00758882;0;1,09707e-05;-0,991694;
0,00916653;2,6293;-2,43369;-0,306552;4,0626;-3,22011;0,0164908;0,015345;0;1,09706e-05;-0,991694;
0,00916668;2,59961;-2,37134;-0,346526;4,05502;-3,21817;0,0337968;0,0275638;0;1,09706e-05;-0,991694;
0,00916687;2,56021;-2,28883;-0,398564;4,04539;-3,2157;0,0612629;0,0461061;0;1,09707e-05;-0,991694;
0,00916717;2,49323;-2,14897;-0,484418;4,02985;-3,21172;0,114218;0,080669;0;1,09706e-05;-0,991694;
0,00916749;2,41957;-1,99568;-0,575037;4,01365;-3,20757;0,176206;0,120301;0;1,09707e-05;-0,991694;
0,00916787;2,32689;-1,80333;-0,683475;3,99413;-3,20258;0,254858;0,170063;0;1,09706e-05;-0,991694;
0,0091683;2,21909;-1,5802;-0,801826;3,97222;-3,19697;0,344315;0,226272;0;1,09707e-05;-0,991694;
0,00916893;2,05648;-1,24449;-0,964562;3,93994;-3,1887;0,471548;0,305703;0;1,09706e-05;-0,991694;
0,00916976;1,84159;-0,802044;-1,15033;3,89753;-3,17784;0,6215;0,398716;0;1,09707e-05;-0,991694;
0,00917062;1,62378;-0,354631;-1,30344;3,85355;-3,16658;0,748895;0,477168;0;1,09706e-05;-0,991694;
0,00917168;1,37039;0,164824;-1,43399;3,79941;-3,15271;0,861584;0,545915;0;1,09707e-05;-0,991694;
0,00917267;1,15318;0,609398;-1,50074;3,74883;-3,13975;0,92341;0,582921;0;1,09706e-05;-0,991694;
0,00917368;0,954407;1,01573;-1,52035;3,69742;-3,12658;0,947395;0,596351;0;1,09707e-05;-0,991694;
0,00917469;0,779531;1,37283;-1,49961;3,64629;-3,11347;0,93838;0,589324;0;1,09706e-05;-0,991694;
0,00917643;0,528877;1,88409;-1,39592;3,55794;-3,09083;0,866454;0,542441;0;1,09707e-05;-0,991694;
0,00917813;0,341212;2,26639;-1,24043;3,47155;-3,06869;0,750519;0,468667;0;1,09706e-05;-0,991694;
0,00917989;0,19781;2,55819;-1,05636;3,38258;-3,04589;0,610347;0,380225;0;1,09706e-05;-0,991694;
0,00918182;0,0865649;2,78431;-0,853427;3,28494;-3,02086;0,454896;0,2826;0;1,09706e-05;-0,991694;
0,00918323;0,0294987;2,90018;-0,715302;3,21388;-3,00264;0,34955;0,216656;0;1,09706e-05;-0,991694;
0,00918447;-0,00794577;2,97614;-0,604769;3,15143;-2,98664;0,266335;0,164662;0;1,09706e-05;-0,991694;
0,00918572;-0,0361458;3,0333;-0,505385;3,0887;-2,97056;0,193063;0,118964;0;1,09706e-05;-0,991694;
0,00918707;-0,0582802;3,07812;-0,411652;3,02105;-2,95321;0,126797;0,0777448;0;1,09706e-05;-0,991694;
0,00918886;-0,0777987;3,11757;-0,307925;2,93126;-2,9302;0,0607316;0,0368358;0;1,09706e-05;-0,991694;
0,00919084;-0,090044;3,14224;-0,218266;2,83226;-2,90482;0,0193858;0,0116402;0;1,09707e-05;-0,991694;
0,00919174;-0,0932708;3,1487;-0,184963;2,78694;-2,8932;0,0108548;0,00650742;0;1,09706e-05;-0,991694;
0,00919217;-0,0944094;3,15098;-0,170752;2,76558;-2,88772;0,00828028;0,00496091;0;1,09707e-05;-0,991694;
0,0091927;-0,0955319;3,15321;-0,154411;2,73918;-2,88096;0,00599217;0,00360375;0;1,09706e-05;-0,991694;
0,00919318;-0,0962995;3,15473;-0,140836;2,71551;-2,87489;0,00455777;0,0027351;0;1,09707e-05;-0,991694;
0,00919372;-0,096934;3,15597;-0,1265;2,68844;-2,86795;0,00335057;0,00201513;0;1,09706e-05;-0,991694;
0,00919427;-0,0973442;3,15676;-0,113198;2,66106;-2,86093;0,00249365;0,00149639;0;1,09707e-05;-0,991694;
0,00919478;-0,0975435;3,15713;-0,10181;2,63552;-2,85438;0,00188591;0,0011271;0;1,09706e-05;-0,991694;
0,00919533;-0,097587;3,15717;-0,0906681;2,60827;-2,8474;0,00139688;0,000833637;0;1,09706e-05;-0,991694;
0,00919577;-0,0975094;3,15699;-0,0823297;2,58612;-2,84172;0,00108099;0,000636331;0;1,09706e-05;-0,991694;
0,00919633;-0,0972883;3,1565;-0,0727041;2,55829;-2,83458;0,000770833;0,000455098;0;1,09706e-05;-0,991694;
0,00919681;-0,0970063;3,15589;-0,0652423;2,53472;-2,82854;0,000593285;0,000345288;0;1,09706e-05;-0,991694;
0,00919735;-0,0965919;3,15501;-0,0574131;2,50771;-2,82162;0,000442483;0,000257606;0;1,09706e-05;-0,991694;
0,00919789;-0,0960949;3,15397;-0,0503169;2,48078;-2,81471;0,00033343;0,000188479;0;1,09706e-05;-0,991694;
0,0091986;-0,0953406;3,15239;-0,0420153;2,44557;-2,80568;0,0002279;0,000127512;0;1,09706e-05;-0,991694;
0,00919944;-0,0943216;3,15028;-0,0334578;2,40381;-2,79498;0,000156516;8,29994e-05;0;1,09706e-05;-0,991694;
0,00920044;-0,09299;3,14751;-0,0249479;2,35466;-2,78238;0,00011221;5,83278e-05;0;1,09706e-05;-0,991694;
0,00920147;-0,0915017;3,14443;-0,0176676;2,30376;-2,76933;0,000104499;5,37636e-05;0;1,09706e-05;-0,991694;
0,00920266;-0,0896826;3,14068;-0,0108497;2,24472;-2,7542;0,000115844;6,20426e-05;0;1,09706e-05;-0,991694;
0,00920407;-0,0874524;3,13608;-0,00461052;2,17487;-2,73629;0,000149569;8,35552e-05;0;1,09706e-05;-0,991694;
0,00920578;-0,084722;3,13045;0,000853051;2,09104;-2,7148;0,000193409;0,0001109;0;1,09706e-05;-0,991694;
0,0092075;-0,0819444;3,12472;0,00469669;2,00627;-2,69307;0,000235496;0,000137606;0;1,09706e-05;-0,991694;
0,00920946;-0,0788018;3,11825;0,00762129;1,90998;-2,66838;0,00027142;0,000159311;0;1,09706e-05;-0,991694;
0,00921153;-0,0755148;3,11148;0,00956925;1,80832;-2,64232;0,000298063;0,000176572;0;1,09706e-05;-0,991694;
0,00921395;-0,0717329;3,10369;0,0109;1,68998;-2,61198;0,000316611;0,000187176;0;1,09706e-05;-0,991694;
0,00921662;-0,067617;3,09521;0,0116657;1,55967;-2,57858;0,00032766;0,000194954;0;1,09706e-05;-0,991694;
0,00921987;-0,0626835;3,08505;0,0120738;1,4019;-2,53813;0,000332792;0,000197049;0;1,09706e-05;-0,991694;
0,00922372;-0,0568806;3,07309;0,012217;1,21493;-2,4902;0,000333895;0,000198819;0;1,09706e-05;-0,991694;
0,00922871;-0,0494471;3,05778;0,0122103;0,974315;-2,42852;0,000332765;0,000196937;0;1,09706e-05;-0,991694;
0,00923526;-0,0397616;3,03782;0,0121287;0,660152;-2,34798;0,000330187;0,000196508;0;1,09706e-05;-0,991694;
0,00924452;-0,0261789;3,00983;0,0120105;0,219365;-2,23498;0,000327133;0,000193371;0;1,09706e-05;-0,991694;
0,00925378;-0,0127208;2,9821;0,0119003;-0,217361;-2,12302;0,000323801;0,00019251;0;1,09706e-05;-0,991694;
0,00926304;0,000613774;2,95463;0,011791;-0,650064;-2,0121;0,000321004;0,000189497;0;1,09706e-05;-0,991694;
0,00927152;0,0127202;2,92968;0,0116915;-1,04292;-1,91138;0,00031791;0,000188821;0;1,09706e-05;-0,991694;
0,00928;0,0247244;2,90495;0,0115927;-1,43245;-1,81152;0,000315497;0,000186014;0;1,09706e-05;-0,991694;
0,00928;0,0247244;2,90495;0,0115927;-1,43245;-1,81152;0,000315497;0,000186014;0,25;1,09707e-05;-0,991694;
